Bird_ID,Hemisphere,Cell_type,Density_interneurons,log(Density_interneurons),Learner_type,Learning_score,Playback,,,,,area=775x775,area(mm),volume=area*0.00315
Silver10,aLH,CB,184992.48,5.267154075,Good,47.45,Novel,,,,,600625,0.600625,0.001891969
Silver10,aLH,aPV,108881.29,5.036953258,Good,47.45,Novel,,,,,,,
Silver10,aLH,CT,132666.04,5.122759766,Good,47.45,Novel,,,,,,,
Silver10,RH,CB,230447.78,5.362572529,Good,47.45,Novel,,,,,,,
Silver10,RH,aPV,130023.29,5.114021151,Good,47.45,Novel,,,,,,,
Silver10,RH,CT,165964.69,5.220015699,Good,47.45,Novel,,,,,,,
Silver10,aLH,CBCTPV,1585.649869,3.200207296,Good,47.45,Novel,,,,,,,
Silver10,aLH,CBCT,39641.24672,4.598147305,Good,47.45,Novel,,,,,,,
Silver10,aLH,CTPV,29598.79755,4.471274068,Good,47.45,Novel,,,,,,,
Silver10,aLH,CBPV,2114.199825,3.325146033,Good,47.45,Novel,,,,,,,
Silver10,RH,CBCTPV,7399.699387,3.869214077,Good,47.45,Novel,,,,,,,
Silver10,RH,CBCT,85096.53171,4.92991186,Good,47.45,Novel,,,,,,,
Silver10,RH,CTPV,17970.69614,4.254564901,Good,47.45,Novel,,,,,,,
Silver10,RH,CBPV,15856.49659,4.200207238,Good,47.45,Novel,,,,,,,
Silver13,aLH,CBCTPV,5285.499562,3.723086041,Good,41.2,Tutor,,,,,,,
Silver13,aLH,CBCT,37527.04689,4.57434439,Good,41.2,Tutor,,,,,,,
Silver13,aLH,CTPV,25370.3979,4.404327279,Good,41.2,Tutor,,,,,,,
Silver13,aLH,CBPV,24313.29799,4.385843873,Good,41.2,Tutor,,,,,,,
Silver13,RH,CBCTPV,5285.499562,3.723086041,Good,41.2,Tutor,,,,,,,
Silver13,RH,CBCT,31184.4433,4.493937995,Good,41.2,Tutor,,,,,,,
Silver13,RH,CTPV,11099.54761,4.045305278,Good,41.2,Tutor,,,,,,,
Silver13,RH,CBPV,10042.44784,4.001839585,Good,41.2,Tutor,,,,,,,
Silver13,aLH,CB,140594.29,5.147967683,Good,41.2,Tutor,301273.48,,,,,,
Silver13,aLH,aPV,108352.74,5.034839898,Good,41.2,Tutor,,,,,,,
Silver13,aLH,CT,113109.69,5.053499812,Good,41.2,Tutor,,,,,,,
Silver13,RH,CB,160679.19,5.205959634,Good,41.2,Tutor,,,,,,,
Silver13,RH,aPV,95138.99,4.978358537,Good,41.2,Tutor,,,,,,,
Silver13,RH,CT,86682.19,4.937929875,Good,41.2,Tutor,,,,,,,
Silver17,aLH,CBCTPV,NA,NA,aBad,15.25,Novel,,,,,,,
Silver17,aLH,CBCT,4228.39965,3.626176028,aBad,15.25,Novel,,,,,,,
Silver17,aLH,CTPV,3699.849694,3.568184081,aBad,15.25,Novel,,,,,,,
Silver17,aLH,CBPV,4756.949606,3.677328551,aBad,15.25,Novel,,,,,,,
Silver17,RH,CBCTPV,4228.39965,3.626176028,aBad,15.25,Novel,,,,,,,
Silver17,RH,CBCT,34355.74262,4.535999341,aBad,15.25,Novel,,,,,,,
Silver17,RH,CTPV,24841.84466,4.395183842,aBad,15.25,,,,,,,,
Silver17,RH,CBPV,15327.94671,4.185483982,aBad,15.25,,,,,,,,
Silver17,aLH,CB,197677.68,5.295957635,aBad,15.25,Novel,,,,,,,
Silver17,aLH,aPV,76639.74,4.884454023,aBad,15.25,Novel,,,,,,,
Silver17,aLH,CT,116809.54,5.067478314,aBad,15.25,Novel,,,,,,,
Silver17,RH,CB,168607.44,5.226876734,aBad,15.25,Novel,,,,,,,
Silver17,RH,aPV,77168.29,4.887438877,aBad,15.25,Novel,,,,,,,
Silver17,RH,CT,116280.99,5.065508721,aBad,15.25,Novel,,,,,,,
Silver18,aLH,CBCTPV,7399.699387,3.869214077,aBad,10.8,Silence,,,,,,,
Silver18,aLH,CBCT,44398.19632,4.647365327,aBad,10.8,Silence,,,,,,,
Silver18,aLH,CTPV,25898.94786,4.413282121,aBad,10.8,Silence,,,,,,,
Silver18,aLH,CBPV,17442.14856,4.241599981,aBad,10.8,Silence,,,,,,,
Silver18,RH,CBCTPV,3171.299737,3.501237292,aBad,10.8,Silence,,,,,,,
Silver18,RH,CBCT,28013.14398,4.447361853,aBad,10.8,Silence,,,,,,,
Silver18,RH,CTPV,17442.14625,4.241599924,aBad,10.8,,,,,,,,
Silver18,RH,CBPV,42,1.62324929,aBad,10.8,,,,,,,,
Silver18,aLH,CB,187106.68,5.272089293,aBad,10.8,Silence,,,,,,,
Silver18,aLH,aPV,133723.14,5.126206566,aBad,10.8,Silence,,,,,,,
Silver18,aLH,CT,113638.24,5.055524499,aBad,10.8,Silence,,,,,,,
Silver18,RH,CB,152750.94,5.183983891,aBad,10.8,Silence,,,,,,,
Silver18,RH,aPV,181292.63,5.258380149,aBad,10.8,Silence,,,,,,,
Silver18,RH,CT,93024.79,4.968598698,aBad,10.8,Silence,,,,,,,
Silver19,aLH,CBCTPV,2642.749781,3.422056046,aBad,14.3,Tutor,,,,,,,
Silver19,aLH,CBCT,63425.99475,4.802267287,aBad,14.3,Tutor,,,,,,,
Silver19,aLH,CTPV,23256.19807,4.366538718,aBad,14.3,Tutor,,,,,,,
Silver19,aLH,CBPV,10042.44917,4.001839642,aBad,14.3,Tutor,,,,,,,
Silver19,RH,CBCTPV,3699.849694,3.568184081,aBad,14.3,Tutor,,,,,,,
Silver19,RH,CBCT,51269.33898,4.709857718,aBad,14.3,Tutor,,,,,,,
Silver19,RH,CTPV,29070.24375,4.463448673,aBad,14.3,Tutor,,,,,,,
Silver19,RH,CBPV,18499.24602,4.267154028,aBad,14.3,Tutor,,,,,,,
Silver19,aLH,CB,152222.39,5.182478536,aBad,14.3,Tutor,,,,,,,
Silver19,aLH,aPV,154865.14,5.189953669,aBad,14.3,Tutor,,,,,,,
Silver19,aLH,CT,154865.14,5.189953669,aBad,14.3,Tutor,,,,,,,
Silver19,RH,CB,171250.19,5.233631062,aBad,14.3,Tutor,,,,,,,
Silver19,RH,aPV,125266.34,5.097834389,aBad,14.3,Tutor,,,,,,,
Silver19,RH,CT,106767.09,5.028437406,aBad,14.3,Tutor,,,,,,,
Silver20,aLH,CBCTPV,6342.599475,3.802267287,Good,50.25,Novel,,,,,,,
Silver20,aLH,CBCT,30127.34751,4.478960897,Good,50.25,Novel,,,,,,,
Silver20,aLH,CTPV,25898.94786,4.413282121,Good,50.25,Novel,,,,,,,
Silver20,aLH,CBPV,15327.94873,4.185484039,Good,50.25,Novel,,,,,,,
Silver20,RH,CBCTPV,11099.54908,4.045305336,Good,50.25,Novel,,,,,,,
Silver20,RH,CBCT,42812.5408,4.631571003,Good,50.25,Novel,,,,,,,
Silver20,RH,CTPV,45455.29023,4.657584435,Good,50.25,Novel,,,,,,,
Silver20,RH,CBPV,52854.98864,4.723085984,Good,50.25,Novel,,,,,,,
Silver20,aLH,CB,140065.74,5.14633192,Good,50.25,Novel,,,,,,,
Silver20,aLH,aPV,151165.29,5.179452082,Good,50.25,Novel,,,,,,,
Silver20,aLH,CT,113638.24,5.055524499,Good,50.25,Novel,,,,,,,
Silver20,RH,CB,182878.28,5.262162128,Good,50.25,Novel,,,,,,,
Silver20,RH,aPV,153808.04,5.186979038,Good,50.25,Novel,,,,,,,
Silver20,RH,CT,72939.89,4.862965104,Good,50.25,Novel,,,,,,,
Silver26,aLH,CBCTPV,NA,NA,aBad,29.25,Tutor,,,,,,,
Silver26,aLH,CBCT,NA,NA,aBad,29.25,Tutor,,,,,,,
Silver26,aLH,CTPV,NA,NA,aBad,29.25,Tutor,,,,,,,
Silver26,aLH,CBPV,NA,NA,aBad,29.25,Tutor,,,,,,,
Silver26,RH,CBCTPV,7928.249343,3.8991773,aBad,29.25,Tutor,,,,,,,
Silver26,RH,CBCT,73468.43421,4.866100784,aBad,29.25,Tutor,,,,,,,
Silver26,RH,CTPV,49683.68932,4.696213837,aBad,29.25,Tutor,,,,,,,
Silver26,RH,CBPV,28541.69386,4.455479744,aBad,29.25,Tutor,,,,,,,
Silver26,aLH,CB,180235.54,5.255840432,aBad,29.25,Tutor,,,,,,,
Silver26,aLH,aPV,NA,NA,aBad,29.25,Tutor,,,,,,,
Silver26,aLH,CT,NA,NA,aBad,29.25,Tutor,,,,,,,
Silver26,RH,CB,NA,NA,aBad,29.25,Tutor,,,,,,,
Silver26,RH,aPV,154336.59,5.1884689,aBad,29.25,Tutor,,,,,,,
Silver26,RH,CT,153808.04,5.186979038,aBad,29.25,Tutor,,,,,,,
Silver28,aLH,CBCTPV,528.5499562,2.723086041,Good,41.2,Tutor,,,,,,,
Silver28,aLH,CBCT,7399.699387,3.869214077,Good,41.2,Tutor,,,,,,,
Silver28,aLH,CTPV,20084.89834,4.302869638,Good,41.2,Tutor,,,,,,,
Silver28,aLH,CBPV,6871.149431,3.837029394,Good,41.2,Tutor,,,,,,,
Silver28,RH,CBCTPV,528.5499562,2.723086041,Good,41.2,Tutor,,,,,,,
Silver28,RH,CBCT,29070.24375,4.463448673,Good,41.2,Tutor,,,,,,,
Silver28,RH,CTPV,7399.698409,3.869214019,Good,41.2,Tutor,,,,,,,
Silver28,RH,CBPV,6871.148523,3.837029336,Good,41.2,Tutor,,,,,,,
Silver28,aLH,CB,135837.34,5.133019169,Good,41.2,Tutor,,,,,,,
Silver28,aLH,aPV,127380.54,5.105103086,Good,41.2,Tutor,,,,,,,
Silver28,aLH,CT,56554.85,4.752469855,Good,41.2,Tutor,,,,,,,
Silver28,RH,CB,162793.39,5.211636767,Good,41.2,Tutor,,,,,,,
Silver28,RH,aPV,116280.99,5.065508721,Good,41.2,Tutor,,,,,,,
Silver28,RH,CT,105709.99,5.024116032,Good,41.2,Tutor,,,,,,,
Silver29,aLH,CBCTPV,528.5499562,2.723086041,Good,39.55,Silence,,,,,,,
Silver29,aLH,CBCT,6342.599475,3.802267287,Good,39.55,Silence,,,,,,,
Silver29,aLH,CTPV,8456.7993,3.927206024,Good,39.55,Silence,,,,,,,
Silver29,aLH,CBPV,20084.89834,4.302869638,Good,39.55,Silence,,,,,,,
Silver29,RH,CBCTPV,6342.599475,3.802267287,Good,39.55,Silence,,,,,,,
Silver29,RH,CBCT,20613.44557,4.314150591,Good,39.55,Silence,,,,,,,
Silver29,RH,CTPV,10042.44784,4.001839585,Good,39.55,Silence,,,,,,,
Silver29,RH,CBPV,12685.19727,4.103297225,Good,39.55,Silence,,,,,,,
Silver29,aLH,CB,187106.68,5.272089293,Good,39.55,Silence,,,,,,,
Silver29,aLH,aPV,95138.99,4.978358537,Good,39.55,Silence,,,,,,,
Silver29,aLH,CT,102538.69,5.010887765,Good,39.55,Silence,,,,,,,
Silver29,RH,CB,208777.23,5.319683131,Good,39.55,Silence,,,,,,,
Silver29,RH,aPV,99895.94,4.999547838,Good,39.55,Silence,,,,,,,
Silver29,RH,CT,85096.54,4.929911902,Good,39.55,Silence,,,,,,,
Silver32,aLH,CBCTPV,4228.39965,3.626176028,aBad,23.35,Novel,,,,,,,
Silver32,aLH,CBCT,36998.49205,4.568184024,aBad,23.35,Novel,,,,,,,
Silver32,aLH,CTPV,8456.7993,3.927206024,aBad,23.35,Novel,,,,,,,
Silver32,aLH,CBPV,14270.84882,4.154449805,aBad,23.35,Novel,,,,,,,
Silver32,RH,CBCTPV,NA,NA,aBad,23.35,Novel,,,,,,,
Silver32,RH,CBCT,17970.69614,4.254564901,aBad,23.35,Novel,,,,,,,
Silver32,RH,CTPV,NA,NA,aBad,23.35,Novel,,,,,,,
Silver32,RH,CBPV,NA,NA,aBad,23.35,Novel,,,,,,,
Silver32,aLH,CB,218819.68,5.340086379,aBad,23.35,Novel,,,,,,,
Silver32,aLH,aPV,121566.49,5.084813877,aBad,23.35,Novel,,,,,,,
Silver32,aLH,CT,76111.19,4.881448512,aBad,23.35,Novel,,,,,,,
Silver32,RH,CB,172835.84,5.237633805,aBad,23.35,Novel,,,,,,,
Silver32,RH,aPV,137951.54,5.139726553,aBad,23.35,Novel,,,,,,,
Silver32,RH,CT,125266.34,5.097834389,aBad,23.35,Novel,,,,,,,
Silver35,aLH,CBCTPV,NA,NA,aBad,30.15,Tutor,,,,,,,
Silver35,aLH,CBCT,NA,NA,aBad,30.15,Tutor,,,,,,,
Silver35,aLH,CTPV,NA,NA,aBad,30.15,Tutor,,,,,,,
Silver35,aLH,CBPV,35412.84707,4.549160844,aBad,30.15,Tutor,,,,,,,
Silver35,RH,CBCTPV,1057.099912,3.024116037,aBad,30.15,Tutor,,,,,,,
Silver35,RH,CBCT,15327.94671,4.185483982,aBad,30.15,Tutor,,,,,,,
Silver35,RH,CTPV,12156.64739,4.08481382,aBad,30.15,Tutor,,,,,,,
Silver35,RH,CBPV,8456.798182,3.927205966,aBad,30.15,Tutor,,,,,,,
Silver35,aLH,CB,192920.73,5.285378897,aBad,30.15,Tutor,,,,,,,
Silver35,aLH,aPV,165436.14,5.218630388,aBad,30.15,Tutor,,,,,,,
Silver35,aLH,CT,NA,NA,aBad,30.15,Tutor,,,,,,,
Silver35,RH,CB,160150.64,5.204528679,aBad,30.15,Tutor,,,,,,,
Silver35,RH,aPV,118395.19,5.073334059,aBad,30.15,Tutor,,,,,,,
Silver35,RH,CT,152750.94,5.183983891,aBad,30.15,Tutor,,,,,,,
Silver38,aLH,CBCTPV,2642.749781,3.422056046,Good,49.5,Tutor,,,,,,,
Silver38,aLH,CBCT,29598.79364,4.471274011,Good,49.5,Tutor,,,,,,,
Silver38,aLH,CTPV,7399.698409,3.869214019,Good,49.5,Tutor,,,,,,,
Silver38,aLH,CBPV,5814.049519,3.764478726,Good,49.5,Tutor,,,,,,,
Silver38,RH,CBCTPV,7928.249343,3.8991773,Good,49.5,Tutor,,,,,,,
